Datum,EXV9_ETF_Kurs,DAX_Kurs,VIX_Kurs,BrentOil_Kurs,WTIOil_Kurs,EUR_USD_Kurs,EUR_CHF_Kurs,EUR_GPB_Kurs,EUR_TRY_Kurs,Lufthansa_Kurs,Ryanair_Kurs,EasyJet_Kurs,Air France-KLM_Kurs,Booking_Kurs,Expedia_Kurs,Uber_Kurs,Airbnb_Kurs,PrimeEnergyOil_Gas_Kurs,Marriott_Hotels_Kurs,Hilton_Hotels_Kurs,AWAY-ETF_Kurs,Article Count,All Articles,News_Sentiment,Mallorca,wellness,airbnb,hotel,camping,vacation_christmas_block,vacation_easter_block,vacation_summer_wave,vacation_autumn_wave,vacation_winter_ski_wave,holiday
2023-10-03,18.455209732055664,15085.2099609375,19.780000686645508,90.91999816894533,89.2300033569336,1.0480751991271973,0.9619699716567992,0.8667399883270264,28.75684928894043,6.350961685180664,36.77622222900391,420.85064697265625,11.65999984741211,118.22306060791016,97.55988311767578,44.5099983215332,127.7300033569336,36.90507507324219,185.4961395263672,145.75999450683594,16.090608596801758,,,,3.0,3.0,8.0,74.0,7.0,0.0,0.0,0.0,0.6,0.0,1.0
2023-10-04,18.310646057128903,15099.919921875,18.57999992370605,85.80999755859375,84.22000122070312,1.0472300052642822,0.9642000198364258,0.8667200207710266,28.81753921508789,6.325546741485596,36.88347244262695,422.14984130859375,11.685999870300291,119.62407684326172,98.95260620117188,44.93999862670898,127.41000366210938,37.26174545288086,189.81224060058597,149.9608917236328,16.105562210083008,,,,3.0,3.0,8.0,74.0,7.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-05,18.59038734436035,15070.2197265625,18.489999771118164,84.06999969482422,82.30999755859375,1.0507071018218994,0.9631699919700624,0.8656100034713745,28.928590774536133,6.441226005554199,37.37759780883789,438.0404357910156,12.12399959564209,118.5360107421875,98.67604064941406,44.61000061035156,124.98999786376952,37.03387069702149,189.7635498046875,148.79893493652344,16.07067108154297,,,,3.0,3.0,8.0,74.0,7.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-06,18.770620346069336,15229.76953125,17.450000762939453,84.58000183105469,82.79000091552734,1.0546631813049316,0.9625599980354308,0.8652899861335754,29.079139709472656,6.487672805786133,37.52316284179688,449.0339050292969,12.470000267028809,119.7406997680664,99.24894714355467,45.77999877929688,126.36000061035156,37.52924728393555,190.9424285888672,150.3481903076172,16.220211029052734,,,,3.0,3.0,8.0,74.0,7.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-09,18.28812026977539,15128.1103515625,17.700000762939453,88.1500015258789,86.37999725341797,1.056747317314148,0.9604099988937378,0.8646600246429443,29.215560913085938,6.20986795425415,36.71493148803711,422.74951171875,11.411999702453612,118.18102264404295,98.4488525390625,45.45000076293945,127.7699966430664,37.23202133178711,189.4322509765625,148.64996337890625,16.030792236328125,,,,3.0,3.0,8.0,68.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-10,19.01374244689941,15423.51953125,17.030000686645508,87.6500015258789,85.97000122070312,1.0578875541687012,0.9573000073432922,0.8635299801826477,29.31934928894043,6.389520645141602,37.7300033569336,439.7394409179688,12.04800033569336,120.17106628417967,100.24655151367188,46.630001068115234,131.58999633789062,37.72739410400391,193.3587188720703,152.0166473388672,16.464460372924805,,,,3.0,3.0,8.0,68.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-11,18.91048812866211,15460.009765625,16.09000015258789,85.81999969482422,83.48999786376953,1.0604791641235352,0.9592499732971193,0.8628299832344055,29.41274070739746,6.392149925231934,37.10564041137695,436.5413208007813,12.107999801635742,120.62458801269533,102.34058380126952,46.63999938964844,130.0,37.7967414855957,193.17356872558597,152.63238525390625,16.5192928314209,,,,3.0,3.0,8.0,68.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-12,18.74246025085449,15425.0302734375,16.690000534057617,86.0,82.91000366210938,1.0624282360076904,0.9572100043296814,0.8624899983406067,29.413280487060547,6.258943557739258,36.21314239501953,406.0593872070313,12.093999862670898,119.72341918945312,101.36271667480467,45.95000076293945,125.97000122070312,36.81591033935547,192.71563720703125,151.9471435546875,16.16039276123047,,,,3.0,3.0,8.0,68.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-13,18.323787689208984,15186.66015625,19.31999969482422,90.88999938964844,87.69000244140625,1.0536741018295288,0.9564800262451172,0.8647699952125549,29.232629776000977,6.231776714324951,35.07167053222656,390.9683532714844,11.902000427246094,115.83917999267578,97.94510650634766,43.47999954223633,124.08000183105467,36.11248779296875,187.9708251953125,148.94790649414062,15.8114652633667,,,,3.0,3.0,8.0,68.0,6.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-16,18.521730422973636,15237.990234375,17.209999084472656,89.6500015258789,86.66000366210938,1.052155375480652,0.9495999813079834,0.8656200170516968,28.97248077392578,6.273841857910156,35.70369338989258,391.5679626464844,12.04599952697754,116.4827651977539,98.4488525390625,44.709999084472656,125.19000244140624,36.72674560546875,191.9751739501953,152.74159240722656,15.992908477783203,,,,3.0,3.0,7.0,68.0,5.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-10-17,18.474733352661133,15251.6904296875,17.8799991607666,89.9000015258789,86.66000366210938,1.055431246757507,0.9502999782562256,0.864139974117279,29.399620056152344,6.23615837097168,35.351287841796875,390.3687133789063,12.109999656677246,116.95120239257812,100.30582427978516,44.380001068115234,125.70999908447266,37.07350158691406,192.43307495117188,153.76454162597656,16.17036247253418,,,,3.0,3.0,7.0,68.0,5.0,0.0,0.0,0.0,0.6,0.0,0.0
