survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2024-W12,ILIconsultationrate,total,2179.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W11,ILIconsultationrate,15-64,2207.6
primary care syndromic,Austria,2024-W11,ILIconsultationrate,5-14,2248.8
primary care syndromic,Austria,2024-W11,ILIconsultationrate,65+,905.1
primary care syndromic,Austria,2024-W11,ILIconsultationrate,total,1798.0
primary care syndromic,Austria,2024-W10,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W10,ILIconsultationrate,15-64,2051.8
primary care syndromic,Austria,2024-W10,ILIconsultationrate,5-14,2694.5
primary care syndromic,Austria,2024-W10,ILIconsultationrate,65+,873.7
primary care syndromic,Austria,2024-W10,ILIconsultationrate,total,1790.0
primary care syndromic,Austria,2024-W09,ILIconsultationrate,0-4,1714.6
primary care syndromic,Austria,2024-W09,ILIconsultationrate,15-64,2640.8
primary care syndromic,Austria,2024-W09,ILIconsultationrate,5-14,3349.5
primary care syndromic,Austria,2024-W09,ILIconsultationrate,65+,668.3
primary care syndromic,Austria,2024-W09,ILIconsultationrate,total,2338.0
primary care syndromic,Austria,2024-W08,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W08,ILIconsultationrate,15-64,2342.2
primary care syndromic,Austria,2024-W08,ILIconsultationrate,5-14,2539.2
primary care syndromic,Austria,2024-W08,ILIconsultationrate,65+,954.9
primary care syndromic,Austria,2024-W08,ILIconsultationrate,total,1945.2
primary care syndromic,Austria,2024-W07,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W07,ILIconsultationrate,15-64,3511.1
primary care syndromic,Austria,2024-W07,ILIconsultationrate,5-14,2957.9
primary care syndromic,Austria,2024-W07,ILIconsultationrate,65+,1282.9
primary care syndromic,Austria,2024-W07,ILIconsultationrate,total,2634.8
primary care syndromic,Austria,2024-W06,ILIconsultationrate,0-4,4945.2
primary care syndromic,Austria,2024-W06,ILIconsultationrate,15-64,4614.5
primary care syndromic,Austria,2024-W06,ILIconsultationrate,5-14,1685.6
primary care syndromic,Austria,2024-W06,ILIconsultationrate,65+,1949.4
primary care syndromic,Austria,2024-W06,ILIconsultationrate,total,3595.8
primary care syndromic,Austria,2024-W05,ILIconsultationrate,0-4,2738.6
primary care syndromic,Austria,2024-W05,ILIconsultationrate,15-64,3334.1
primary care syndromic,Austria,2024-W05,ILIconsultationrate,5-14,4477.3
primary care syndromic,Austria,2024-W05,ILIconsultationrate,65+,1559.6
primary care syndromic,Austria,2024-W05,ILIconsultationrate,total,3161.0
